Team,Player,Position,Starter
Raiders,Will Putnam,IOL,
Raiders,Matt Gay,K,
Raiders,Cody Lindenberg,LB,
Raiders,Jamin Davis,LB,
Raiders,Segun Olubi,LB,
Raiders,Tommy Eichenberg,LB,
Raiders,Alex Ward,LS,
Raiders,Charles Grant,OT,
Raiders,Dalton Wagner,OT,
Raiders,Joshua Miles,OT,
Raiders,AJ Cole,P,
Raiders,Chris Collier,RB,
Raiders,Dylan Laube,RB,
Raiders,Tristin McCollum,S,
Raiders,Albert Okwuegbunam Jr.,TE,
Raiders,Carter Runyon,TE,
Raiders,Michael Mayer,TE,
Raiders,Brenden Rice,WR,
Raiders,Dareke Young,WR,
Raiders,Dont'e Thornton Jr.,WR,
Raiders,Justin Shorter,WR,
Raiders,Phillip Dorsett II,WR,
Raiders,Shedrick Jackson,WR,
Rams,Jaylen Watson,CB,TRUE
Rams,Trent McDuffie,CB,TRUE
Rams,Kobie Turner,DT,TRUE
Rams,Poona Ford,DT,TRUE
Rams,Braden Fiske,ED,TRUE
Rams,Byron Young,ED,TRUE
Rams,Jared Verse,ED,TRUE
Rams,Coleman Shelton,IOL,TRUE
Rams,Kevin Dotson,IOL,TRUE
Rams,Steve Avila,IOL,TRUE
Rams,Nate Landman,LB,TRUE
Rams,Omar Speights,LB,TRUE
Rams,Alaric Jackson,OT,TRUE
Rams,Warren McClendon Jr.,OT,TRUE
Rams,Matthew Stafford,QB,TRUE
Rams,Kyren Williams,RB,TRUE
Rams,Kam Curl,S,TRUE
Rams,Kamren Kinchens,S,TRUE
Rams,Quentin Lake,S,TRUE
Rams,Colby Parkinson,TE,TRUE
Rams,Davante Adams,WR,TRUE
Rams,Jordan Whittington,WR,TRUE
Rams,Puka Nacua,WR,TRUE
Rams,Alex Johnson,CB,
Rams,Cam Lampkin,CB,
Rams,Emmanuel Forbes Jr.,CB,
Rams,Josh Wallace,CB,
Rams,Bill Norton,DT,
Rams,Larrell Murchison,DT,
Rams,Ty Hamilton,DT,
Rams,Tyler Davis,DT,
Rams,Desjuan Johnson,ED,
Rams,Josaiah Stewart,ED,
Rams,Keir Thomas II,ED,
Rams,Beaux Limmer,IOL,
Rams,Dylan McMahon,IOL,
Rams,Justin Dedich,IOL,
Rams,Wyatt Bowles,IOL,
Rams,Harrison Mevis,K,
Rams,Elias Neal,LB,
Rams,Grant Stuard,LB,
Rams,Shaun Dolac,LB,
Rams,Joe Cardona,LS,
Rams,AJ Arcuri,OT,
Rams,David Quessenberry,OT,
Rams,Ethan Evans,P,
Rams,Stetson Bennett IV,QB,
Rams,Blake Corum,RB,
Rams,Jarquez Hunter,RB,
Rams,Jordan Waters,RB,
Rams,Ronnie Rivers,RB,
Rams,Jaylen McCollough,S,
Rams,Nate Valcarcel,S,
Rams,Tanner Ingle,S,
Rams,Davis Allen,TE,
Rams,Mark Redman,TE,
Rams,Terrance Ferguson,TE,
Rams,Tyler Higbee,TE,
Rams,Brennan Presley,WR,
Rams,Konata Mumpfield,WR,
Rams,Mario Williams,WR,
Rams,Tru Edwards,WR,
Rams,Tyler Scott,WR,
Rams,Xavier Smith,WR,
Ravens,Chidobe Awuzie,CB,TRUE
Ravens,Marlon Humphrey,CB,TRUE
Ravens,Nate Wiggins,CB,TRUE
Ravens,Broderick Washington Jr.,DT,TRUE
Ravens,Travis Jones,DT,TRUE
Ravens,Nnamdi Madubuike,ED,TRUE
Ravens,Tavius Robinson,ED,TRUE
Ravens,Trey Hendrickson,ED,TRUE
Ravens,Andrew Vorhees,IOL,TRUE
Ravens,Corey Bullock,IOL,TRUE
Ravens,John Simpson,IOL,TRUE
Ravens,Roquan Smith,LB,TRUE
Ravens,Teddye Buchanan,LB,TRUE
Ravens,Roger Rosengarten,OT,TRUE
Ravens,Ronnie Stanley,OT,TRUE
Ravens,Lamar Jackson,QB,TRUE
Ravens,Derrick Henry,RB,TRUE
Ravens,Kyle Hamilton,S,TRUE
Ravens,Malaki Starks,S,TRUE
Ravens,Mark Andrews,TE,TRUE
Ravens,Devontez Walker,WR,TRUE
Ravens,Rashod Bateman,WR,TRUE
Ravens,Zay Flowers,WR,TRUE
Ravens,Amani Oruwariye,CB,
Ravens,Bilhal Kone,CB,
Ravens,Keyon Martin,CB,
Ravens,Marquise Robinson,CB,
Ravens,Robert Longerbeam,CB,
Ravens,T.J. Tampa,CB,
Ravens,C.J. Okoye,DT,
Ravens,David Olajiga,DT,
Ravens,John Jenkins,DT,
Ravens,Adisa Isaac,ED,
Ravens,Aeneas Peebles,ED,
Ravens,Kaimon Rucker,ED,
Ravens,Mike Green,ED,
Ravens,Lucas Scott,FB,
Ravens,Danny Pinter,IOL,
Ravens,Jared Penning,IOL,
Ravens,Jovaughn Gwyn,IOL,
Ravens,Tyler Loop,K,
Ravens,Carl Jones,LB,
Ravens,Jay Higgins IV,LB,
Ravens,Trenton Simpson,LB,
Ravens,Nick Moore,LS,
Ravens,Emery Jones Jr.,IOL,
Ravens,Carson Vinson,OT,
Ravens,Gerad Lichtenhan,OT,
Ravens,Tyler Huntley,QB,
Ravens,Justice Hill,RB,
Ravens,Rasheen Ali,RB,
Ravens,Jaylinn Hawkins,S,
Ravens,Keondre Jackson,S,
Ravens,Durham Smythe,TE,
Ravens,Cornelius Johnson,WR,
Ravens,Dayton Wade,WR,
Ravens,LaJohntay Wester,WR,
Saints,Isaac Yiadom,CB,TRUE
Saints,Kool-Aid McKinstry,CB,TRUE
Saints,Quincy Riley,CB,TRUE
Saints,Davon Godchaux,DT,TRUE
Saints,Nathan Shepherd,DT,TRUE
Saints,Bryan Bresee,ED,TRUE
Saints,Carl Granderson,ED,TRUE
Saints,Chase Young,ED,TRUE
Saints,Cesar Ruiz,IOL,TRUE
Saints,David Edwards,IOL,TRUE
Saints,Erik McCoy,IOL,TRUE
Saints,Kaden Elliss,LB,TRUE
Saints,Pete Werner,LB,TRUE
Saints,Kelvin Banks Jr.,OT,TRUE
Saints,Taliese Fuaga,OT,TRUE
Saints,Tyler Shough,QB,TRUE
Saints,Travis Etienne Jr.,RB,TRUE
Saints,Jonas Sanker,S,TRUE
Saints,Justin Reid,S,TRUE
Saints,Juwan Johnson,TE,TRUE
Saints,Chris Olave,WR,TRUE
Saints,Devaughn Vele,WR,TRUE
Saints,Mason Tipton,WR,TRUE
Saints,Beanie Bishop,CB,
Saints,Dalys Beanum,CB,
Saints,Jayden Price,CB,
Saints,Rejzohn Wright,CB,
Saints,Coziah Izzard,DT,
Saints,John Ridgeway III,DT,
Saints,Khristian Boyd,DT,
Saints,Chris Rumph II,ED,
Saints,Fadil Diggs,ED,
Saints,Myles Cole,ED,
Saints,Vernon Broughton,ED,
Saints,Nick Saldiveri,IOL,
Saints,Torricelli Simpkins III,IOL,
Saints,Charlie Smyth,K,
Saints,Danny Stutsman,LB,
Saints,Isaiah Stalbird,LB,
Saints,Jaylan Ford,LB,
Saints,Zach Wood,LS,
Saints,Asim Richards,IOL,
Saints,Dillon Radunz,IOL,
Saints,Easton Kilty,IOL,
Saints,William Sherman,IOL,
Saints,Xavier Truss,IOL,
Saints,Barry Wesley,OT,
Saints,Ryan Wright,P,
Saints,Spencer Rattler,QB,
Saints,Zach Wilson,QB,
Saints,Alvin Kamara,RB,
Saints,Audric Estimé,RB,
Saints,Devin Neal,RB,
Saints,Evan Hull,RB,
Saints,Kendre Miller,RB,
Saints,Ty Chandler,RB,
Saints,Elliott Davison,S,
Saints,Jordan Howden,S,
Saints,Julian Blackmon,S,
Saints,Terrell Burgess,S,
Saints,Moliki Matavao,TE,
Saints,Noah Fant,TE,
Saints,Treyton Welch,TE,
Saints,Zaire Mitchell-Paden,TE,
Saints,Bub Means,WR,
Saints,Damien Alford,WR,
Saints,Elijah Cooks,WR,
Saints,Ja'Lynn Polk,WR,
Saints,Kevin Austin Jr.,WR,
Saints,Ronnie Bell,WR,
Saints,Samori Toure,WR,
Saints,Trey Palmer,WR,
Seahawks,Devon Witherspoon,CB,TRUE
Seahawks,Josh Jobe,CB,TRUE
Seahawks,Byron Murphy II,DT,TRUE
Seahawks,Jarran Reed,DT,TRUE
Seahawks,DeMarcus Lawrence,ED,TRUE
Seahawks,Leonard Williams,ED,TRUE
Seahawks,Uchenna Nwosu,ED,TRUE
Seahawks,Anthony Bradford,IOL,TRUE
Seahawks,Grey Zabel,IOL,TRUE
Seahawks,Jalen Sundell,IOL,TRUE
Seahawks,Drake Thomas,LB,TRUE
Seahawks,Ernest Jones IV,LB,TRUE
Seahawks,Abraham Lucas,OT,TRUE
Seahawks,Charles Cross,OT,TRUE
Seahawks,Sam Darnold,QB,TRUE
Seahawks,Zach Charbonnet,RB,TRUE
Seahawks,Julian Love,S,TRUE
Seahawks,Nick Emmanwori,S,TRUE
Seahawks,Ty Okada,S,TRUE
Seahawks,AJ Barner,TE,TRUE
Seahawks,Cooper Kupp,WR,TRUE
Seahawks,Jaxon Smith-Njigba,WR,TRUE
Seahawks,Rashid Shaheed,WR,TRUE
Seahawks,Nehemiah Pritchett,CB,
Seahawks,Noah Igbinoghene,CB,
Seahawks,Shemar Jean-Charles,CB,
Seahawks,Brandon Pili,DT,
Seahawks,Bubba Thomas,DT,
Seahawks,J.R. Singleton,DT,
Seahawks,Rylie Mills,DT,
Seahawks,Connor O'Toole,ED,
Seahawks,Derick Hall,ED,
Seahawks,Jalan Gaines,ED,
Seahawks,Jamie Sheriff,ED,
Seahawks,Jared Ivey,ED,
Seahawks,Mike Morris,ED,
Seahawks,Brady Russell,FB,
Seahawks,Robbie Ouzts,FB,
Seahawks,Bryce Cabeldue,IOL,
Seahawks,Christian Haynes,IOL,
Seahawks,Federico Maranges,IOL,
Seahawks,Olu Oluwatimi,IOL,
Seahawks,Jason Myers,K,
Seahawks,Chazz Surratt,LB,
Seahawks,Chris Paul Jr.,LB,
Seahawks,Ja'Markis Weston,LB,
Seahawks,Patrick O'Connell,LB,
Seahawks,Tyrice Knight,LB,
Seahawks,Chris Stoll,LS,
Seahawks,Josh Jones,IOL,
Seahawks,Mason Richman,IOL,
Seahawks,Amari Kight,OT,
Seahawks,Logan Brown,OT,
Seahawks,Michael Dickson,P,
Seahawks,Drew Lock,QB,
Seahawks,Jalen Milroe,QB,
Seahawks,Cam Akers,RB,
Seahawks,Emanuel Wilson,RB,
Seahawks,George Holani,RB,
Seahawks,Jacardia Wright,RB,
Seahawks,Kenny McIntosh,RB,
Seahawks,Velus Jones Jr.,RB,
Seahawks,AJ Finley,S,
Seahawks,D'Anthony Bell,S,
Seahawks,Maxen Hook,S,
Seahawks,Rodney Thomas II,S,
Seahawks,Elijah Arroyo,TE,
Seahawks,Eric Saubert,TE,
Seahawks,Nick Kallerup,TE,
Seahawks,Cody White,WR,
Seahawks,Jake Bobo,WR,
Seahawks,Montorie Foster Jr.,WR,
Seahawks,Ricky White III,WR,
Seahawks,Tory Horton,WR,
Seahawks,Tyrone Broden,WR,
Steelers,Brandin Echols,CB,TRUE
Steelers,Jamel Dean,CB,TRUE
Steelers,Joey Porter Jr.,CB,TRUE
Steelers,Cameron Heyward,DT,TRUE
Steelers,Keeanu Benton,DT,TRUE
Steelers,Alex Highsmith,ED,TRUE
Steelers,Derrick Harmon,ED,TRUE
Steelers,T.J. Watt,ED,TRUE
Steelers,Mason McCormick,IOL,TRUE
Steelers,Spencer Anderson,IOL,TRUE
Steelers,Zach Frazier,IOL,TRUE
Steelers,Patrick Queen,LB,TRUE
Steelers,Payton Wilson,LB,TRUE
Steelers,Broderick Jones,OT,TRUE
Steelers,Troy Fautanu,OT,TRUE
Steelers,Mason Rudolph,QB,TRUE
Steelers,Jaylen Warren,RB,TRUE
Steelers,DeShon Elliott,S,TRUE
Steelers,Jalen Ramsey,S,TRUE
Steelers,Darnell Washington,TE,TRUE
Steelers,DK Metcalf,WR,TRUE
Steelers,Michael Pittman Jr.,WR,TRUE
Steelers,Roman Wilson,WR,TRUE
Steelers,Asante Samuel Jr.,CB,
Steelers,Cory Trice Jr.,CB,
Steelers,D'Shawn Jamison,CB,
Steelers,Daequan Hardy,CB,
Steelers,Doneiko Slaughter,CB,
Steelers,Donte Kent,CB,
Steelers,Esezi Otomewo,DT,
Steelers,Kyler Baugh,DT,
Steelers,Logan Lee,DT,
Steelers,Yahya Black,DT,
Steelers,Anthony Goodlow,ED,
Steelers,Jack Sawyer,ED,
Steelers,Jahvaree Ritzie,ED,
Steelers,Julius Welschof,ED,
Steelers,KJ Henry,ED,
Steelers,Nick Herbig,ED,
Steelers,Sebastian Joseph-Day,ED,
Steelers,Aiden Williams,IOL,
Steelers,Brock Hoffman,IOL,
Steelers,Ryan McCollum,IOL,
Steelers,Sataoa Laumea,IOL,
Steelers,Chris Boswell,K,
Steelers,Carson Bruener,LB,
Steelers,Cole Holcomb,LB,
Steelers,Malik Harrison,LB,
Steelers,Cal Adomitis,LS,
Steelers,Christian Kuntz,LS,
Steelers,Doug Nester,IOL,
Steelers,Jack Driscoll,IOL,
Steelers,Lorenzo Thompson,IOL,
Steelers,Steven Jones,IOL,
Steelers,Dylan Cook,OT,
Steelers,Cameron Johnston,P,
Steelers,Will Howard,QB,
Steelers,Kaleb Johnson,RB,
Steelers,Lew Nichols,RB,
Steelers,Rico Dowdle,RB,
Steelers,Travis Homer,RB,
Steelers,Darnell Savage,S,
Steelers,Jack Henderson,S,
Steelers,Jaquan Brisker,S,
Steelers,Sebastian Castro,S,
Steelers,JJ Galbreath,TE,
Steelers,Pat Freiermuth,TE,
Steelers,A.T. Perry,WR,
Steelers,Ben Skowronek,WR,
Steelers,Brandon Smith,WR,
Steelers,Cole Burgess,WR,
Steelers,John Rhys Plumlee,WR,
Steelers,Max Hurleman,WR,
Texans,Derek Stingley Jr.,CB,TRUE
Texans,Kamari Lassiter,CB,TRUE
Texans,Sheldon Rankins,DT,TRUE
Texans,Tommy Togiai,DT,TRUE
Texans,Danielle Hunter,ED,TRUE
Texans,Will Anderson Jr.,ED,TRUE
Texans,Ed Ingram,IOL,TRUE
Texans,Jake Andrews,IOL,TRUE
Texans,Wyatt Teller,IOL,TRUE
Texans,Azeez Al-Shaair,LB,TRUE
Texans,Henry To'oTo'o,LB,TRUE
Texans,Aireontae Ersery,OT,TRUE
Texans,Braden Smith,OT,TRUE
Texans,C.J. Stroud,QB,TRUE
Texans,David Montgomery,RB,TRUE
Texans,Calen Bullock,S,TRUE
Texans,Jalen Pitre,S,TRUE
Texans,Reed Blankenship,S,TRUE
Texans,Dalton Schultz,TE,TRUE
Texans,Jayden Higgins,WR,TRUE
Texans,Nico Collins,WR,TRUE
Texans,Tank Dell,WR,TRUE
Texans,Ajani Carter,CB,
Texans,Alijah Huzzie,CB,
Texans,Brandon Codrington,CB,
Texans,Ja'Marcus Ingram,CB,
Texans,Jaylin Smith,CB,
Texans,Tremon Smith,CB,
Texans,Junior Tafuna,DT,
Texans,Kyonte Hamilton,DT,
Texans,Logan Hall,DT,
Texans,Naquan Jones,DT,
Texans,Dominique Robinson,ED,
Texans,Dylan Horton,ED,
Texans,Solomon Byrd,ED,
Texans,Xavier Thomas,ED,
Texans,British Brooks,FB,
Texans,Eli Cox,IOL,
Texans,Evan Brown,IOL,
Texans,Jarrett Patterson,IOL,
Texans,Sidy Sow,IOL,
Texans,Ka'imi Fairbairn,K,
Texans,E.J. Speed,LB,
Texans,Jake Hansen,LB,
Texans,Jake Hummel,LB,
Texans,Jamal Hill,LB,
Texans,Austin Brinkman,LS,
Texans,Jarrett Kingston,IOL,
Texans,Blake Fisher,OT,
Texans,Trent Brown,OT,
Texans,Kai Kroeger,P,
Texans,Davis Mills,QB,
Texans,Graham Mertz,QB,
Texans,Jawhar Jordan,RB,
Texans,Woody Marks,RB,
Texans,Jaylen Reed,S,
Texans,Kaevon Merriweather,S,
Texans,M.J. Stewart,S,
Texans,Brevin Jordan,TE,
Texans,Cade Stover,TE,
Texans,Foster Moreau,TE,
Texans,Layne Pryor,TE,
Texans,Luke Lachey,TE,
Texans,Jared Wayne,WR,
Texans,Jaylin Noel,WR,
Texans,Josh Kelly,WR,
Texans,Justin Watson,WR,
Texans,Xavier Hutchinson,WR,
Titans,Alontae Taylor,CB,TRUE
Titans,Cor'Dale Flott,CB,TRUE
Titans,Marcus Harris,CB,TRUE
Titans,Jeffery Simmons,DT,TRUE
Titans,John Franklin-Myers,DT,TRUE
Titans,Jermaine Johnson II,ED,TRUE
Titans,Oluwafemi Oladejo,ED,TRUE
Titans,Austin Schlottmann,IOL,TRUE
Titans,Cordell Volson,IOL,TRUE
Titans,Peter Skoronski,IOL,TRUE
Titans,Cedric Gray,LB,TRUE
Titans,Cody Barton,LB,TRUE
Titans,Dan Moore Jr.,OT,TRUE
Titans,JC Latham,OT,TRUE
Titans,Cam Ward,QB,TRUE
Titans,Tony Pollard,RB,TRUE
Titans,Amani Hooker,S,TRUE
Titans,Kevin Winston Jr.,S,TRUE
Titans,Gunnar Helm,TE,TRUE
Titans,Calvin Ridley,WR,TRUE
Titans,Elic Ayomanor,WR,TRUE
Titans,Wan'Dale Robinson,WR,TRUE
Titans,Joshua Williams,CB,
Titans,Keydrain Calligan,CB,
Titans,Micah Robinson,CB,
Titans,C.J. Ravenell,DT,
Titans,Cam Horsley,DT,
Titans,Earnest Brown IV,DT,
Titans,Isaiah Raikes,DT,
Titans,Jordan Elliott,DT,
Titans,Solomon Thomas,DT,
Titans,Timmy Horne,DT,
Titans,Ali Gaye,ED,
Titans,David Ebuka Agoha,ED,
Titans,Jacob Martin,ED,
Titans,Jaylen Harrell,ED,
Titans,Malik Herring,ED,
Titans,Nate Lynn,ED,
Titans,Truman Jones,ED,
Titans,Clay Webb,IOL,
Titans,Drew Moss,IOL,
Titans,Garrett Dellinger,IOL,
Titans,Jackson Slater,IOL,
Titans,Trey Hill,IOL,
Titans,Joey Slye,K,
Titans,Cam Riley,LB,
Titans,Dorian Mausi,LB,
Titans,James Williams Sr.,LB,
Titans,Mohamoud Diabate,LB,
Titans,Morgan Cox,LS,
Titans,Austin Deculus,OT,
Titans,Brandon Crenshaw-Dickson,OT,
Titans,Ryan Hayes,OT,
Titans,Tommy Townsend,P,
Titans,Mitchell Trubisky,QB,
Titans,Will Levis,QB,
Titans,Blake Watson,RB,
Titans,Julius Chestnut,RB,
Titans,Kalel Mullings,RB,
Titans,Tyjae Spears,RB,
Titans,Erick Hallett,S,
Titans,Jerrick Reed II,S,
Titans,Kendell Brooks,S,
Titans,Sanoussi Kane,S,
Titans,Tony Adams,S,
Titans,Daniel Bellinger,TE,
Titans,David Martin-Robinson,TE,
Titans,Joel Wilson,TE,
Titans,Kylen Granson,TE,
Titans,Bryce Oliver,WR,
Titans,Chimere Dike,WR,
Titans,Hal Presley III,WR,
Titans,Mason Kinsey,WR,
Titans,Xavier Restrepo,WR,
Vikings,Byron Murphy Jr.,CB,TRUE
Vikings,Isaiah Rodgers,CB,TRUE
Vikings,James Pierre,CB,TRUE
Vikings,Levi Drake Rodriguez,DT,TRUE
Vikings,Andrew Van Ginkel,ED,TRUE
Vikings,Jalen Redmond,ED,TRUE
Vikings,Jonathan Greenard,ED,TRUE
Vikings,Tyrion Ingram-Dawkins,ED,TRUE
Vikings,Donovan Jackson,IOL,TRUE
Vikings,Will Fries,IOL,TRUE
Vikings,Blake Cashman,LB,TRUE
Vikings,Eric Wilson,LB,TRUE
Vikings,Blake Brandel,IOL,TRUE
Vikings,Brian O'Neill,OT,TRUE
Vikings,Christian Darrisaw,OT,TRUE
Vikings,Kyler Murray,QB,TRUE
Vikings,Aaron Jones Sr.,RB,TRUE
Vikings,Jay Ward,S,TRUE
Vikings,Joshua Metellus,S,TRUE
Vikings,T.J. Hockenson,TE,TRUE
Vikings,Jordan Addison,WR,TRUE
Vikings,Justin Jefferson,WR,TRUE
Vikings,Tai Felton,WR,TRUE
Vikings,Dwight McGlothern,CB,
Vikings,Zemaiah Vaughn,CB,
Vikings,Taki Taimani,DT,
Vikings,Bo Richter,ED,
Vikings,Chaz Chambliss,ED,
Vikings,Dallas Turner,ED,
Vikings,Elijah Williams,ED,
Vikings,Jaylon Hutchings,ED,
Vikings,Tyler Batty,ED,
Vikings,Joe Huber,IOL,
Vikings,Michael Jurgens,IOL,
Vikings,Vershon Lee,IOL,
Vikings,Will Reichard,K,
Vikings,Ivan Pace Jr.,LB,
Vikings,Jacob Roberts,LB,
Vikings,Josh Ross,LB,
Vikings,Andrew DePaola,LS,
Vikings,Henry Byrd,IOL,
Vikings,Caleb Etienne,OT,
Vikings,Ryan Van Demark,OT,
Vikings,Walter Rouse,OT,
Vikings,Johnny Hekker,P,
Vikings,Carson Wentz,QB,
Vikings,J.J. McCarthy,QB,
Vikings,Max Brosmer,QB,
Vikings,Jordan Mason,RB,
Vikings,Zavier Scott,RB,
Vikings,Kahlef Hailassie,S,
Vikings,Tavierre Thomas,S,
Vikings,Theo Jackson,S,
Vikings,Ben Yurosek,TE,
Vikings,Bryson Nesbit,TE,
Vikings,Gavin Bartholomew,TE,
Vikings,Josh Oliver,TE,
Vikings,Dontae Fleming,WR,
Vikings,Jeshaun Jones,WR,
Vikings,Joaquin Davis,WR,
Vikings,Myles Price,WR,